question,answer,image
What is the hand holding in the Prague coat of arms?,Sword,00000000000000009593png
The Coin of Salamis was what shape?,Circle,00000000000000009594png
What colour is the RG Casey House?,Grey,00000000000000009595png
What is the field made of?,Grass,00000000000000009596png
What is the Baska?,Tablet,00000000000000009597png
What color is Albert II tie ?,blue,00000000000000009598png
The Officer Cadet School building within the SAFTI Military Institute is made of what?,brick,00000000000000009599png
What sport are the teams Benifica and Naval a part of?,Soccer,00000000000000009600png
what type of vehicle is pictured?,Jet,00000000000000009601png
Is the person holding the board male or female?,male,00000000000000009602png
How many real people are present in this picture?,0,00000000000000009603png
what color is the banner on the building?,Green,00000000000000009604png
what object is in the river?,boat,00000000000000009605png
what is they sitting on?,Chairs,00000000000000009606png
What color are the strings?,white,00000000000000009607png
What are the men holding?,Flag,00000000000000009608png
What color is the gazebo?,black,00000000000000009609png
What color are the flour sacks?,White,00000000000000009610png
The Mi-17 is what type of vehicle?,helicopter,00000000000000009611png
What color is the door?,Blue,00000000000000009612png
What is the man holding?,Flag,00000000000000009613png
What colour is Peter Kalmykov's house?,blue,00000000000000009614png
What color is the top of the helmet?,red,00000000000000009615png
Are the leaves of S. giganteum green or lavender?,Green,00000000000000009616png
What color is the sky?,blue,00000000000000009618png
Raikkonen drove what colour car at Lotus's first victory of 2012 season?,black,00000000000000009619png
Is the stadium full or empty?,empty,00000000000000009620png
How many windows does a person get in a Qatar Airways first call seat to themself?,3,00000000000000009621png
Is the BMW HP2 a road or off-road bike?,road,00000000000000009622png
What color are the lower deck seats at Zimbru Stadium?,Green,00000000000000009623png
how many flags are there?,3,00000000000000009624png
What are behind the people?,goats,00000000000000009625png
How many large sections are the stained glass windows in Fluminense's headquarters?,3,00000000000000009626png
what is the color of his suit?,Black,00000000000000009627png
The Hernando de Soto has how many arches on top?,2,00000000000000009628png
what type of roadway is this?,Interchange,00000000000000009629png
Badshahi Mosque has what on its floors?,Tile,00000000000000009630png
How many palm trees are in front of the building?,2,00000000000000009631png
How many big tv screens are there behind the the big fish?,1,00000000000000009632png
What is the A HAL Dhruv?,helicopter,00000000000000009633png
What comes out of the M2 Browning?,ammunition,00000000000000009634png
The birthplace of Silicon Valley has a what on the driveway?,gate,00000000000000009635png
what type of transportation is in the picture?,car,00000000000000009636png
What color are the clouds?,white,00000000000000009637png
What is the large word in the center?,Eyfalia,00000000000000009638png
How many people are in this photo?,1,00000000000000009639png
Jane Pierce liked to wear a what on her head?,Bonnet,00000000000000009640png
What sport does the person in the picture play?,Baseball,00000000000000009641png
What kind of footwear are the Georgian folk singers wearing?,boots,00000000000000009642png
What color hat?,blue,00000000000000009643png
What is the picture of?,Library,00000000000000009644png
Iron Duke was a what?,Ship,00000000000000009645png
What kind of animal is this?,Orca,00000000000000009646png
The Hancock English election poster had how many flags on it?,6,00000000000000009647png
What type of nut is in the picture?,chestnuts,00000000000000009648png
Is this person a male or female?,male,00000000000000009649png
What color is the wall?,White,00000000000000009650png
Is it day or night in this picture?,day,00000000000000009651png
what color is her outfit?,Purple,00000000000000009652png
Hadi wore a what when meeting with Kerry?,suit,00000000000000009653png
The stands/people at Faurot Field are what general colour?,yellow,00000000000000009654png
La Meije is a what?,mountain,00000000000000009655png
