query,answer,image,image_path,sub_queries
What shape is the logo on the Memorial Stadium (Baltimore)?,oval,b28ccfc26c070e2c3dabb8728ebf5af8,39790cbe52e400b77427236d15b9b0f9.jpg,logo| Memorial Stadium (Baltimore) | shape
What fruit is in the background of the DVD cover for Lemonade Mouth (film)?,lemon,f4592cddc5e1363b3a5b6249911430e9,3b7dd8b73948f3dceff74f6f2b4a6de0.jpg,DVD cover| Lemonade Mouth (film)| fruit
What is the central color of The Big Bang Theory poster?,yellow,dde00f74ba94148d86e409bf3b5d998c,b22d98409a61713661c1071b05dcbab8.jpg,The Big Bang Theory| poster| central color
What kind of building is this 1999 NFL season game played in?,stadium,4e13d6f96d479400abde4c6eba6839d3,ccb88c88d164154335f30f6c39b363c6.jpg,1999 NFL season| building
What color pants are the players with white jerseys wearing during the 2004 NFL season?,gold,3cf59c460286fb52bdcb8df9af52a8c3,94c7fea8111c1e7be8a67201f3503c3b.PNG,players| white jerseys| 2004 NFL season| pants color
What type of hat is Ryan Hunter-Reay wearing?,cap,5457edea15d53a9780b2280e3d878d8f,e518bd3498229701912731c3ca4d7e5f.jpg,Ryan Hunter-Reay| hat type
How many gentlemen are seen in this photo from Humor Risk?,four,49c32d22fad13ce3265505e15d46a707,b41703e0820229bfb7da27e20b11c66e.jpg,photo| Humor Risk| gentlemen
what is the figure doing in the Knattspyrnudeild Hamars patch,running,1b038545f5e682d7d77126c488a49f6f,a95694ae26db8530141b6a39d1b9c157.jpg,Knattspyrnudeild Hamars| patch| figure| action
Who is the Red Queen (Through the Looking-Glass) talking to?,alice,77cab9bc4fcf1427a065ec82952d9d50,11784043f7740096fb6ae69de282bdec.jpg,Red Queen| Through the Looking-Glass| conversation
What color are the pants associated with the 2016 San Francisco 49ers season?,tan,2e090a6f1f4aa86fa8578021232adc28,a5fc7aa9b3c87de21381d5237523797c.jpg,pants| 2016| San Francisco 49ers season
Does Sonu Nigam have straight or curly hair?,curly,472f04dff31b6612980ac065320b04ae,80c6d9c1393c4b10eacaf9b1cc344d07.PNG,Sonu Nigam| hair type| straight| curly
Does Jaspinder Narula have on earnings?,yes,8ac4b0362d9878179d9fc0501cdf104e,897da25f5a40774226043fa45caf078e.jpg,Jaspinder Narula| earnings
What is this member of the 2014 NASCAR Sprint Cup Series holding in his hands?,microphone,8d6891ecfd9adddd7b56885701b80e35,f8b3832323489f8e408c55e89cdf6521.jpg,2014 NASCAR Sprint Cup Series| member| holding in hands
What color are Kristin Clarke's pants?,black,3f73ed2db0beb138b42acc39bd6115d2,0032a8b8b3915ac99fbc04aa70dd1a54.jpg,Kristin Clarke| pants| color
Is Janique LeBlanc competing in the traditional figure-skater's skirt and tights?,no,06488ec96cc1c0e00eb4337d41d5748e,b8293897e5803087d754e05167e965b0.jpg,Janique LeBlanc| traditional figure-skater's skirt| tights
How many photos make up this collage of Athens?,six,5dc4e9341f6f12b0c7918c2e72e6485c,699da80420cffc992ad71c06ffdbafd8.JPG,collage| Athens| photos
What hand is the player holding the ball in in this game of Rugby league?,right,0cc48b760bc4881fff2eec74beab28e3,1a32c52f276b899339fab1ba9e1481e2.jpg,player| ball| Rugby league| hand
What is the Baseball player doing with his bat here?,swinging,943207e5c2e4cd4058380ca80c618ffe,f6909224eb6c005422b55367e78a299c.jpg,Baseball player| bat
What is Alex Zanardi wearing on his head?,hat,25bdef3d0833437d4cdbf449ce88384c,4fbb7040e9dc9f3b5677f20a71ca72bb.jpg,Alex Zanardi| wearing| head
How many boats can be seen in the foreground of the water next to Boston?,one,74ee114f86c8e57d286979c397367047,2dfcb50ae5cafb737e953a50d67e346b.jpg,boats| foreground| water| Boston
What color is used to designate Mandarin Chinese-speaking areas?,green,bd3aced2dea1417d0c108823700706b4,230a4474ff09dbf8c5b40daeb6474ccd.jpg,Mandarin Chinese-speaking areas| color designation
"How many athletes are running the 10,000 metres?",5,9e23bb41ef807a7d0d32fa0e87e3086c,14af7ecc7680f8d41b7465c442cbab09.jpg,"athletes| 10,000 metres"
How many peoplare in the Yeh Rishta Kya Kehlata Hai poster,three,bbf15f028a057551beda7b4a6b49e0a9,453ad18ad846e855c8a09de710ee13f9.jpg,Yeh Rishta Kya Kehlata Hai| poster| number of people
Was the image from the 2012 Major League Soccer season taken in the day or night?,night,9a520b4b6e493f019601983644c4369c,2fdf42c5645c1dbe61ee27d23e95ed76.jpg,2012 Major League Soccer season| image| day| night
What color are the giant glasses on the poster of Taarak Mehta Ka Ooltah Chashmah?,red,0eddcd387498514536009f45e09f3f43,b80563f8de9860ca5d5b99d287280077.jpg,giant glasses| poster| Taarak Mehta Ka Ooltah Chashmah
What is Vasily Lanovoy wearing around his neck?,medal,658a47855503acc35f5cabeea412eb4b,2a9670077e3ad8d5dd25a782f877d5a9.jpg,Vasily Lanovoy| wearing| around his neck
What is the person in the November (2004 film) poster wearing on her face?,glasses,afcbabf2a1647d1d4d7cab1175180818,60145e01d2cd11bb41788025952e8da0.jpg,poster| November (2004 film)| face
How many total people are in Think Like a Man,nine,f6811715382ffd1bd0bfa6cb379dca12,0400e8dd0fb939a72f34f1b75c8265f8.jpg,total people| Think Like a Man
What is a man associated with America's Got Talent (season 3) wearing on his left wrist?,watch,cc2dbcf64693f2764d9703431bc611ae,7a0565156ada0c0320fba7a4b83439c9.jpg,man| America's Got Talent (season 3)| left wrist
Is Shinji Higuchi holding a potato?,no,be71f06ce3121e422ff482a267443cad,adf9637a449938d75d8d4a0c69edd4bd.jpg,Shinji Higuchi| holding| potato
What color tie is Hiroki Hasegawa wearing?,black,828459b833ed82eea112b5aaa7d32ee6,3b90ef1da4c93d9c02d3f16e191659a2.jpg,Hiroki Hasegawa| color tie
What shape is the earring on the ear of Satomi Ishihara?,circle,4f368c0c4d2b145f95ca70d5cb71c08f,125f89b37bec989af6a4ff6a60faeb1c.jpg,earring| Satomi Ishihara| shape
how many people are on this post of The Guest (TV series),3,e135fe53c4250210ddf3b2ef22689e8f,343a896afa24a72e36ec6aa909b7a059.jpg,post| The Guest (TV series)| number of people
What is Matthew Rolston holding in his hand?,camera,3b2a930ca884514a0d10432d2cdeff75,163c5da52cdf757029aee90ad6f96317.jpg,Matthew Rolston| holding 
What shape is at the top of the Esporte Clube Santo Andre logo?,star,cd688309f231129c3e897a33704d62e6,116b1e5556c2f3c1f9732f7d0c20e9f1.jpg,Esporte Clube Santo Andre| logo| shape
What type of weather feature is the Melbourne Storm logo holding in its right hand,lightning,b5fafc9de980037c99a86c0855730a93,d5b43ca18a2c78f27ade50d5eb8c6b01.jpg,Melbourne Storm| logo| weather feature| right hand
What kind of racket is Sean Williams Scott holding in this poster for Balls Out:  Gary the Tennis Coach?,tennis,ad7718bfa2e49fb964c9c720233eed29,81f60493e2fd56d3616585aecbb28013.jpg,poster| Sean Williams Scott| Balls Out: Gary the Tennis Coach| racket
What animal is in The Night of the Grizzly?,bear,f8c6becec72a684835503a24149b9eaa,f0c8de09b794cbd93b77203bd495fa81.jpg,The Night of the Grizzly| animal
What is the dominant color in the Jordan Grand Prix logo?,yellow,d969ceafa603334eaac0474944681348,0f69fc263a48807f919b50b853d2c1f9.jpg,Jordan Grand Prix| logo| dominant color
Does a river run through Buenos Aires?,yes,287d270f16601a9fe4410f40858e631f,c3098661477a7e46f87d3f229f608fbd.jpg,river| Buenos Aires
What is Jeff Gordon wearing on his finger,ring,e14fef998ba0732ee0055fb68d2ecef7,6ecce40ab52b6ce1285ac7b1da24aba2.jpg,Jeff Gordon| wearing| finger
What type of expression is on the face of Sergio Garcia?,happy,5193b84077acfb0170e5dcba724994ec,6999badd2ac247b75e4711f634e65328.jpg,Sergio Garcia| facial expression
"What kind of tower is in the bottom right of this collage of Richmond,Virginia?",clock,6678605c214548a9683bfcb502376e7b,3e7945352b1a63f1c317ea55f7ebb335.jpg,"collage| Richmond, Virginia| tower"
What color are the shoes worn by 	Ryan James (rugby league)?,white,fe24cb4aa9578d573c92a61bb221d47f,d77ab3de05854fff3d2741f546a96bc9.jpg,shoes| Ryan James (rugby league)
What is the vehicle people are riding on the poster of Tour de Pharmacy?,bicycle,99124946fa2527b15785d5a0c7f6b01c,b96eb98b831d2398c040d75f938fb89d.jpg,poster| Tour de Pharmacy| vehicle
What color is the van parked directly in front of Royal Court Theatre?,yellow,c1403c696634ae69e2250d6dd7e0ff99,041bd2f8c04c361ac59882ac89dc45ff.jpg,van| Royal Court Theatre
Does Michael van Gerwen look happy or mad in this photo?,mad,47baa12786114b191d0ac3184752182e,7057b6d34966071d3329ce670f1353a7.jpg,Michael van Gerwen| photo| happy| mad
What is around the head of the woman in the corner of the Starlink: Battle for Atlas cover?,headband,2653074a069c49a84a26c1be7a839f6d,5ce130c5933a639a4c3ebe8d7b5dbc43.jpg,Starlink: Battle for Atlas| cover| woman| head| surrounding object
What kind of coaster is shown in this photo collage of Copenhagen?,roller,f4b3caeb787706d2ad5e2fa8ead5c564,89b66aa37193ab1bf3ef753ffaad88a8.jpg,photo collage| Copenhagen| coaster
What color are the license plates seen by the Almeida Theatre?,yellow,e980eca9951d60fe14bcd2b5425bb7aa,21d515705cceefea3f579fd281d07dbc.jpg,Almeida Theatre| license plates| color
What color hair does Shakti Prasad have?,black,72c9380b15d5e9b5ce374f6e246264aa,0bb28c519f83f502b8962d75652f7dab.jpg,Shakti Prasad| hair color
What is Kurt Fearnley doing with his mouth?,smiling,9f821cef828d3ea40328fdf2f2aef5ed,ab5ab0cf63e1690083a9baa148338778.jpg,Kurt Fearnley| mouth
What color is the background of the The Twilight Zone (2002 TV series) title screen?,black,559e62f2605fadbc85f53b952f88c12f,55bba20dd5edce505910342b8affef05.jpg,background| The Twilight Zone (2002 TV series)| title screen
How many characters are on the cover of Presidio Med?,seven,c44f580bca52c61a5eed56a8deb6e1e2,ce1be8ddb89742a246d26a0da2731e1e.jpg,cover| Presidio Med| characters
What is Dean Stoneman doing with the vehicle?,racing,bc17d5450d8cd6bef591921ff4162fc3,9fadbf39d686a41f43d11dae1235938d.jpg,Dean Stoneman| vehicle
What type of writing is on the piece of paper that Johann Sebastian Bach is holding?,music,e7131007c33fe496624f9e8b3a057272,98404c6d34b84d9047e9826c6a29cf78.jpg,piece of paper| Johann Sebastian Bach| writing type
What style of hat is Bernhard Langer wearing?,visor,d13205b86b5f23d818807147f889accc,3f1e9411579f5450b14ded1e7325ac54.jpg,Bernhard Langer| hat style
How many photos are in this collage of San Paulo?,six,10c5248632a66115431c41aebbd6d738,63a1d407e9f259f166652674bc5d5766.jpg,collage| San Paulo| number of photos
What object is seen in the upper right picture of Rio de Janeiro?,statue,4dcad69cdbc6d6787bda154aaa4830ff,79975575f0522e089d2b79f8b55bd883.jpg,upper right picture| Rio de Janeiro| object
How many photos are in this collage of Curitiba?,six,4968e1891da05945484c30faadf6ae34,f38da8683114d82a2fc5aaa66447a4e9.jpg,collage| Curitiba| photos
Are there many historic buildings displayed in this collage of Southampton?,yes,ae63680ef315f50a131ccdf76fcb8330,304283ec66ecfbd88cbae4e07d4922de.jpg,collage| historic buildings| Southampton
Did 2006 NFL season games take place in spite of snow storms?,yes,3f69cd396566b100b8245c5e3ddf021d,b9343eb890f898f8a8b4d6d8709dcc89.jpg,2006 NFL season| games| snow storms
What human feature does the red car on the cover of Cars (video game) have on its hood?,face,95f8843e3a9aecaf612cbd409cfc93a3,0fd825da597e6205cc76de85905ec02a.jpg,red car| cover| Cars (video game)| human feature| hood
What style of hat is Richard Petty wearing?,cowboy,9f02b3c432f0114f2bc26cd2ef819be9,d472cf64bd333552e450f8006115216f.jpg,Richard Petty| hat style
What is the type of cap called that Conor Daly is wearing?,baseball,8e02cc2d2273cd2e08de81903ae6eb04,11e89fa9fccb374f26f1243e3c7151b0.jpg,Conor Daly| cap| type
Does the continent in the middle of the map of English language countries contain more light or dark-blue colored nations?,light,aaa3978252c031f9e8106294db920869,ac76d9a704dbd92cf03b32efbb7da48a.jpg,continent| map| English language countries| light-blue nations| dark-blue nations
Is this photo of Paul Maguire a headshot or full body shot?,headshot,bd8ec1c87919c209316aeb7955879a78,2f873d8e7e392d6a1b168b945ff9a1a8.jpg,photo| Paul Maguire| headshot| full body shot
Which garment is on the arm of the dancer on the Greenwich Village (film) poster?,glove,7ffde61f3a95f73935d12cf3dfb7e01e,39b35178165c4a5e874d012773193712.jpg,garment| arm| dancer| Greenwich Village (film) poster
What type of animal is featured in the Al-Arabi SC (Qatar) logo?,bird,b8025b4025ebc4d2e3fa3fd1609bcb66,a0f1225bcd06ec4de4d7b6cfc6637bca.jpg,Al-Arabi SC| Qatar| logo| animal
What color is the man's shirt in the cameo appearance photo?,pink,7e773173ee07be8859efb9191e74d8a7,d1f85ffbdc248cdd8d0e161e1ddbd71e.jpg,cameo appearance photo| man's shirt color
What is Niels Arestrup wearing on his head?,sunglasses,8a690c1090eac6da4aed316d3beaab31,e0e400fa90b216d838183dc0e5d58ad1.jpg,Niels Arestrup| wearing| head
What color coat is Stephanie Edwards (Grey's Anatomy) wearing?,white,b8e3e4ce98516708bfc783826b8b5dd1,de4e3e50ae3b5f66487203246206e1bc.jpg,Stephanie Edwards| coat| Grey's Anatomy
What unusual feature does the horse have in the poster for Clash of the Titans?,wings,a4f94622095bda9ef4e58cbdd1c5a603,5f6385b7d49c491e828b6f7edb5c857a.jpg,poster| Clash of the Titans| horse| unusual feature
What color is in the foreground of Zekū,black,dd49b0f11ae8b7b70650cb72a7b0f1ab,8cde2f85b5d23b4b2eb5716e0d940023.jpg,Zekū| foreground color
What color shorts is Rohan Bopanna wearing?,green,2e7743cd44b31615fd084e917eb16aea,c2044be7619dc8fa4fb7ff3956c91e94.jpg,Rohan Bopanna| shorts| color
What is this man wearing around his neck in this photo from the 2016 NFL season?,tie,1c7e8ec5983003dacd256feebd809d98,671f0c6d5e5d44768419cd5975030e50.jpg,man| wearing| necklace| photo| 2016 NFL season
What color metal are the Canadian Screen Awards statues?,gold,7bc453c462e706ee16651670848ee405,c412a87c86d2e864d967d525bfe808a5.jpg,Canadian Screen Awards| statues| color metal
What shape is the logo for Relativity Records?,rectangle,3a77a925fd3163ccb890ff8ff52c64ef,15b5124cbe84eafb230061aaa8dbc288.jpg,Relativity Records| logo| shape
What is the main color of the ball in the York City Knights logo?,white,7c11cb6a009dcf4828ac3f59bab8c7c4,d134fc0aa538c14f1e726fc0fb764aba.jpg,York City Knights| logo| ball| main color
What animal is featured on the statue in the middle left of this collage of Liverpool?,horse,938da5676a7dfc85000936fe87f84bb4,115e9a9f892b51c87529447d327f54b3.PNG,statue| Liverpool| animal
What is the shape of the large building in Oxford?,circular,f9661a42e82f9bed50e3fbb0412d50c8,be29ca5b40f635e1fd42abec7481f24d.jpg,large building| Oxford| shape
What is growing out of the bear's back in Berwick Rangers F.C.?,tree,a6f24dae9ef6ef3503aef23084f75ead,360273e63e31c862e94fe3aa9e9d18d3.jpg,bear| Berwick Rangers F.C.| growing out of back
Do both uniform options for the 2014 New Orleans Saints season include beige pants?,yes,85b852960ab4f352c376e7c1ccd973f8,a20f058b2e563877c6c45cec1e1afeac.jpg,2014 New Orleans Saints season| uniform options| beige pants
Which sport is being played on a picture of M&T Bank Stadium?,football,3f61125f86c54ba08a0ae11a5b25be0d,86c0b5c683e48b980e0fb446e5f758e5.jpg,M&T Bank Stadium| sport
What color is the background of the logo for the corporate sponsor of Lang Park?,green,79fa8a852c04de4ae92c78cd04f10e98,2471de79891ff90b88d604d980416897.jpg,background color| logo| corporate sponsor| Lang Park
What is Aaron Paul holding in his left hand at the 36th Saturn Awards?,trophy,57580df17f8a77418d7f77af8cd8e6bf,11c83f9255a2c44a05159e41095a7402.jpg,Aaron Paul| left hand| 36th Saturn Awards
What is the length of Harry Fowler's hair?,short,3bf0be7361dd4c098970e06d7675b161,7dadf89e87a976f4fce44e351de950a3.jpg,Harry Fowler| hair length
What type of earrings is Lady Gaga wearing?,pearl,c0b54476aeb0ad69aae3a3a07c5b0972,1661f407d0c551a5a7e790f9de55ca22.jpg,Lady Gaga| earrings| type
Is there more than one person in the title shot for Malcolm in the Middle?,no,dc4066f1ab7382c5faa1c66fbd103f8d,805c628ab2c4c8396f9c58ce1e2efc95.jpg,title shot| Malcolm in the Middle| number of people
What color is the line depicted on the poster for The Wire?,blue,76017f5585fb4a3ad937c84c85ca7635,02083fab499fc23081c1bec576785c13.jpg,poster| The Wire| color| line
what facial hair does K. J. Yesudas have,beard,17dd5c2897c622a18a1ffc6110c85e2f,147239f0f39254399cbd7291f16ceab0.jpg,K. J. Yesudas| facial hair
What color are the uniform pants for the 2013 Pittsburgh Steelers season ?,yellow,8df778cf7e67d221b7e0305857adaae0,195d66af95a1a0df57100eeaad9982a8.jpg,uniform pants| 2013 Pittsburgh Steelers season
What type of racket is Liezel Huber holding?,tennis,da0ceff5e3e9ab4582b101b3585ba37d,8f5987661fa880bf8fc3e9283f53a055.jpg,Liezel Huber| racket
What color is Ivan Lendl wearing?,orange,5b1be052cf24213b998144d237ddecaa,a6efb89f9bb09b34cefce8fee9f5a0fd.jpg,Ivan Lendl| color| wearing
Is Catherine Tate smiling or frowning in this photo?,smiling,287ec0d4de70e3fa19e55b3fb59b7c23,f4ec9c0ddb259c6e7bb6b8ed1c8f970d.jpg,Catherine Tate| smiling| frowning| photo
What color is the circle surrounding the Fatih Vatan Spor logo?,red,55be001c9b7fce6e9589b87011574471,994127ac63cd6e2e255dc6806e306503.jpg,Fatih Vatan Spor| logo| circle color
What are people standing on in the bottom right photo in this collage of Chicago?,grass,3322e5824cfbc40968ca24e289486d6c,f6e8afb2fd16002d527cc6d2dfb73f34.jpg,collage| Chicago| bottom right photo| people| standing on
Are thre players on the field in this match of the 2013–14 UEFA Europa League?,yes,f91a85c560b96fa27e539954d8c20de2,15ddf62124806e670c4219310083a5a2.jpg,players| field | 2013–14 UEFA Europa League | match
What shape is the top portion of the Saturn Award?,circle,980677c2ed1e82728413f9534802c212,7f9aeb9e7aa38a277904fbff85f44552.jpg,Saturn Award| top portion| shape
What protective gear is the FC Utrecht logo shaped like?,shield,461c3e827932abad1a825e0ae833dc17,21d518156cadb72a925cc173f55ef31e.jpg,FC Utrecht| logo| protective gear
Does South of Nowhere have more white or black people on it's logo?,white,07fe7be521cb5a696c87a0a86ff88d04,4f55fe3a8da7700dfab0b7ca3bdd9636.jpg,South of Nowhere| logo| white people| black people
What is on Martin Finn (hurler)'s head?,helmet,8b00fbc72cb4e263ed1f2fe950b7f14b,3bf5208118cfdf42e939cd414eef192b.jpg,Martin Finn (hurler)| head
Is Regis Laconi wearing a purple uniform?,no,2dc55478860590e5323cd0e90ad9811d,10376342920dff778b4b100d38f8f2b7.jpg,Regis Laconi| purple uniform
How many people are shown in the poster for How I Met Your Mother?,four,08f3a8eb12378a9d90d7c567afe3e3c3,e580ab222a31d52bd4992d40dd1bf548.jpg,poster| How I Met Your Mother| people
What is the top of the Golden Globe Award shaped like?,globe,d92cf09e11d74f9c2e24c05d625c8ae2,450b38ea4878892809b162629204f150.jpg,Golden Globe Award| shape
Is there a bird on the logo for Al Shabab Al Arabi Club Dubai?,yes,d121dbf9201d225e5f4bbf3a4670bd14,6a73e2198d549c455521f8b4d038b1c4.jpg,bird| logo| Al Shabab Al Arabi Club Dubai
What sport is Mounir El Hamdaoui playing?,soccer,711823eb03b25bf015293abd20e66bd6,b4c86e43697c077ab6097e15e18ec5c6.jpg,Mounir El Hamdaoui| sport
How many stars are on a Roy Makaay's kit?,one,ada348ad093a712e01e2f9c0c5964b02,4dcad69cdbc6d6787bda154aaa4830ff.jpg,Roy Makaay| kit| stars
What object is on the bottom of this logo for Gymnastics at the 2004 Summer Olympics?,trampoline,89533cee844f1a475cfb57dad4d028cc,d29f0b2909abc7e11b7abde5bf37b73d.jpg,logo| Gymnastics| 2004 Summer Olympics| object
Did Elvin Bishop wear overalls on stage at the Boston's on the Beach performance?,yes,bb3bb54410b841795b7b5aee707bb6f6,7cc1b63faa3d96806590de956511747b.jpg,Elvin Bishop| overalls| Boston's on the Beach| performance
Are the stadiums empty at Russian Premier League?,no,27e23a91212c7eb42059b88e824f7cc1,0d3faec7c88d6d8eda71961d476accf3.JPG,stadiums| Russian Premier League| empty
Is the barb wire on the poster for Foyle's War in a blue colour?,no,680ad18ef1349910625f6ff733c9bcad,e5c0cf9e4066c26a5affcb012073b12d.jpg,poster| Foyle's War| barb wire| blue color
What color makes up the background of the 1995 Carolina Panthers season logo?,black,33763a9c81632e1f912fadefd5d6533a,29ef04cdeeadee4c6755fd69775719c3.jpg,1995 Carolina Panthers season| logo| background color
How many uniform combinations are shown in this photo for the 1995 St. Louis Rams season?,two,f8c2868b7df9032c5484f59e20952dde,30a7fd09d9cbe84cd52c845b9bae0893.jpg,photo| uniform combinations| 1995 St. Louis Rams season
How many different colors make up the RCA Dome logo?,two,1e741fa4e3ee974461a5b09d9ac44bbb,e9a0a0f30dd2ffb051299c68942943fd.jpg,RCA Dome| logo| colors
What shape is at the center of the EFL League Two logo?,circle,97e36d22aebc632ca3bb06307a5e3be9,16ef61d804847c65b49e132b47560934.jpg,EFL League Two| logo| shape
What is the crouching man holding in 800 metres?,camera,0261558127c48759da3d141f39e532e4,de14107bed1e6731e9e99cc782610989.jpg,crouching man| 800 metres| holding
How many different pictures of Moscow are seen here?,six,2926c9e79ebd38dc2fbd4b8741312d84,185faeb924ab4a7640a97d3dbfb702a7.jpg,pictures| Moscow
What sport does John Sadri play?,tennis,2c7eb77db0291eeb45e4280235058900,38535587c87291af2915fa75a168e322.jpg,John Sadri| sport
What is Fabolous wearing over his eyes?,sunglasses,3ba53c38a2334ce07b52e0ead159e00c,9a55b55bed5e334897519910d58e642d.jpg,Fabolous| wearing| eyes
What type of plant is seen in the A Country Practice screen?,tree,20c01c497b0509cc905edeb102937533,bc574536843c7647c8a25d3202de296e.jpg,A Country Practice| plant
What color is the outermost layer of the logo for Burnley F.C.?,yellow,73b87bb89329c830512b669e9fe36e21,b95286acbb525edd9a1171deef37ee48.jpg,Burnley F.C.| logo| outermost layer| color
What color shirt is Ed Sheeran wearing?,black,999f5e2e7d3e91808ced5907d5c97bd0,015e36f5b89b638a3daf5b946df292ae.jpg,Ed Sheeran| shirt color
What type of facial hair does John Lennon have besides a moustache?,beard,d5bca06b976791c90ef1a6be2d67e64d,417654ed1d18bef7bef493f6775333b2.jpg,John Lennon| facial hair| types| moustache
What overall shape is the logo for Rochdale A.F.C.?,circle,612f6e26528ec76ba9063d42e7e20a4e,e163093b245c3f7bae44dd6236fefb9b.jpg,Rochdale A.F.C.| logo| overall shape
What color is John Merivale's name printed in on the Caltiki – The Immortal Monster poster?,red,260ddf8cfd8839a6b91963dadf863dc1,86b8607e1be77030d370e37ce674a490.jpg,John Merivale| color| Caltiki – The Immortal Monster| poster
What direction is the arrow in the sign pointing in Amsterdam?,up,7aa92d67f7643a9ac4584c95fe3ea1bd,f4b3caeb787706d2ad5e2fa8ead5c564.jpg,arrow| sign| Amsterdam
How many uniform options were there for the 2004 New England Patriots season?,three,1b3d5c8b5c9882387eda16705172626e,651dc1fce2b48020359dac0e7a64f23d.jpg,uniform options| 2004 New England Patriots season
Are the same two colors present in both uniform options for the 2004 New York Jets season?,yes,6439611676e451a2ac24859539660706,ac4634c38e24bf329e543256bc5c938a.jpg,2004 New York Jets season| uniform options| colors
How many photos of Melbourne make up this collage?,six,b1e3471501fed319044afd363afc295a,805c628ab2c4c8396f9c58ce1e2efc95.jpg,collage| Melbourne| photos
What kind of animal is in F Is for Family?,dog,09600af2a9cce8c6098312744d8e1195,dbaa980b83142576c1a98e1945b29bc7.jpg,animal| F Is for Family
How many stars are on the  Mississippi state flag?,thirteen,33002a89d4b97618a27a90454ef225f6,97e36d22aebc632ca3bb06307a5e3be9.jpg,Mississippi state flag| number of stars
What is Garbiñe Muguruza wearing around her neck?,necklace,09b2fcc95ca550c9b210d1a7e5be63fb,2289f50bb6dc929b2fee85efe03880e4.jpg,Garbiñe Muguruza| neck| wearing
What white shape is in the middle of the logo for The X-Files?,circle,f3f5c6d1ba2c3b2636f70af0dff1e52e,a8a6f7ca9448a3ab85917384fe18cfae.jpg,logo| The X-Files| white shape
"How many different pictures of Richmond, Virginia are shown?",six,6678605c214548a9683bfcb502376e7b,d21ffa7e4cad81b3316a985b70ea7e1f.jpg,"pictures| Richmond, Virginia"
What is the goalie wearing on his left hand in this game of Ice hockey?,glove,85856853286b86bc98841ffc322e63f1,5d107bb5a4062da61c892620a2880928.jpg,goalie| left hand| ice hockey game
How many yards long is an arena field from goal line to goal line in Indoor American football?,fifty,278525f1f86badde1927ca64bf2e9612,8e023aad7a165875be9f8aff6cd83d5f.jpg,arena field| goal line| goal line| Indoor American football| yards long
Are characters on a movie poster for Guardians of the Galaxy all human?,no,29c64789d397154f2d3933e2aa6c7c0b,45eaf2cf4472def28a689b4734d447e9.jpg,Guardians of the Galaxy| movie poster| characters| human
How many white stripes are on the flag for the United States?,six,4c6e0c8d6b9223bd435809e52eecd008,3092db3eb2e5ad618bcc5d9c50c4d8b4.jpg,flag| United States| white stripes
What object is directly in front of Carrie Underwood's mouth?,microphone,c9c97cbc77353164913fcf9082ec76d9,3eecfc9a64d80125c302670c7e95ddc5.jpg,Carrie Underwood| object in front of mouth
Is the CSI: Miami poster multicolored?,yes,cd64afd2bfaaf9085b41c00a8d27423e,fb77f93793830af3331f0a56304320b4.jpg,CSI: Miami| poster| multicolored
What item is in front of Martin Kove?,microphone,a8f1ae4dbf26375636387a795faeb5c1,8cffe741270087e7ddbae3bccce6171c.jpg,Martin Kove| item
What color is Sarah Douglas (actress) shirt?,blue,041850968f7587dff62be7a949061c1f,e1833999ee712ba537b52a85d02a36b4.jpg,Sarah Douglas| shirt| color
What gender is the person on the far right of the McMillan & Wife marquee?,female,890a4d313aa8b5e3c7adb258b2eb8538,97e36d22aebc632ca3bb06307a5e3be9.jpg,McMillan & Wife| marquee| person on the far right| gender
What general shape is the white logo on the left side of the shirt Lionel Messi is wearing?,triangle,be7a87387da9733e2ac502169bd88308,3ab2539f253c781a16710ea666bab33b.jpg,white logo| shirt| Lionel Messi| shape
What color is Hans Zimmer's jacket?,blue,13b22b6ee9cc52c5682d94d8fd1a71b9,7891c7393d68e9ac848e09af1d7d3cd9.jpg,Hans Zimmer| jacket| color
What is in the center of the badge on the Blue Heelers title screen?,crown,7ca735451cb4367a489f6bb1362dca34,0c2ca92260f58eceef80371b552068f2.jpg,badge| Blue Heelers| title screen
"Aside from grey and white, what color is used to designate the Tiwi language on this map?",purple,d6c9eca572876e8a98acdc8e9b14e2d0,f9661a42e82f9bed50e3fbb0412d50c8.jpg,Tiwi language| map| color
What type of animal is the Wales mascot?,griffin,b6ec23d244fa169d87aec926efcdb748,469ed4d7f893593019a61bb246c4cf5c.jpg,Wales| mascot| type of animal
What color besides black is featured on the logo for Jordan Grand Prix?,yellow,d969ceafa603334eaac0474944681348,9704dde5bad706d20d4cedc28a694d1f.jpg,Jordan Grand Prix| logo| color
What sport is Roberta Vinci playing?,tennis,bcc7c9bd8716794de4bd450dda989eb5,b5631af079c3abc819ad8d1b2d098a9d.jpg,Roberta Vinci| sport
What shape is the The O2 building?,dome,e979e0be8ca1fc36e3d853ae36ace832,b7e07113dff43d926a96d307c78a61a5.jpg,The O2 building| shape
What is Davy Condon holding?,award,f2df787ddb739cf61fa0a2279e3af0d0,554dbe806142b6a5bbd097b2f2451eea.jpg,Davy Condon| holding
Does Luke Perry have grey facial hair?,yes,efcc5fa1328e8742b13bbfccbcf2c232,dfcd921d54971e95264bb669f3a3fa9a.jpg,Luke Perry| grey facial hair
Is Seville located along the water?,yes,0104fcb6f187a97b5cdd21cf1f41ab44,e67dc741da5e752509a5b2c78eea84ef.jpg,Seville| location| water
