query,answer,image
Is Wembley Stadium full of fans or empty in this photo?,empty,33a7424f926aec996dbca0acd2815daf
What type of lit up wheel is shown in this collage of London?,ferris,edda61d6ace989ed6a5aa01af7ffcd32
What is the person holding in the Melbourne Storm logo?,thuderbolt,b5fafc9de980037c99a86c0855730a93
"In Istanbul, what color is the bottom half of the trolley?",red,25d2bb5dbcd129c4eaede8374cab21fe
What is Kevin Harvick wearing on the top of his head?,hat,30a7fd09d9cbe84cd52c845b9bae0893
What is Jeff Gordon wearing on his left third finger?,ring,e14fef998ba0732ee0055fb68d2ecef7
What is the gender of the person in haute-contre?,female,bfd3aead96cfc1aea146354d6eb7bcfc
What is the hair color of Abigail Deveraux?,brown.,e6bdad89ec85cfcd27fc48b3e609f13c
What sport was playing during the 1981 Miami Dolphins season?,football,94ffb20a224efcde9491ec90b147ab5a
What action is being displayed by the players on the field in this photo from the 1981 Cincinnati Bengals season?,tackle,e8b96fd5272a722ee283ecd8aa5e8a30
What kind of vehicle is parked outside the Astrodome?,minivan,21afca94b9b666ddebe28f69f10d81ef
What color are the majority of the seats seen at Candlestick Park,red,5d0dda0da720280106fddf64b043c774
What is Trevor Bayne holding?,microphone,8c5120cbaef8f12d7d1f530f78468290
What mathaematical sign is the Chevrolet logo similar to?,plus,bedc73ce5c425482ab87c0ae1bca1617
How many columns are there in the bottom left picture of Chicago?,four,3322e5824cfbc40968ca24e289486d6c
"Besides black and white, what is the other main color on the Silent Witness poster?",blue,f637a90f3b83e629b7b2fad4fe509ee7
Are there any paintings of Alexander Hamilton?,yes,41351b9cfd9f5fc090d726f99a9c9b5d
Does P. Leela have a dot on her forehead?,yes,48c7b669497c6dc6b4ebea2d8943331e
On what object is P. Susheela resting her elbow?,table,66eb4368e9ce2866d826f0a388113c90
Is the child touching the man in the poster for Fathers and Daughters?,yes,14b72925ee2baa74ba64cd3cc1fefee4
Are the clover leafs on the Celtic F.C. logo striped or dotted?,striped,be2a001f59fcfe989a53c9f12aa82b0f
How many pictures of the city Tokyo are here?,five,f63228fa891acc3142e97c778aa1f600
Is the stadium full or empty in this photo from the 2007 Green Bay Packers season?,full,8e748a60c143c493b899fd5ae3045c57
What main color besides white is shown in these uniforms from the 2007 Minnesota Vikings season?,purple,448084b5b010e888d0c7abe06edef779
How many photos make up this collage of Rome?,six,f815637d95193298f862c5001bc4c1a0
What sport is the Long jump a part of?,track,f0ab760fcaff6c2200c35ba72a46dddc
What instrument can be seen in the bottom right collage of Queen (band)?,drums,3855b2d2f6f8f75611915a1d98e0f50a
What is Sting holding on the album cover for Fields Of Gold?,umbrella,c0e58396f076f2de90c3404c6fcc9e00
What type of ball is used in Australian rules football?,football,ce36e1ae9ada7bca7cbabd8bca787e83
What color is the log for Doctor Who?,red,fe1d61b05493cc86bd648abcbd644e63
Is Sofia a rural or urban area?,urban,c0ece862c6a5280a8960ce87f083b63e
Is Samuel Goldwyn's tie plain or decorated?,decorated,8a8a1bc967fd722b8f9470e71e3c539b
What type of shirt is Marlon Brando wearing in this photo?,tshirt,014d8c086869ca3ac61c994f206a3a27
What is Jean Simmons wearing around her neck?,necklace,f0ecf2b61ec7ce8ef153608c8cf0f6ae
How many fingers does Cher have on her arm?,four,a9a36c5a88be7902c221e1ba186b2fb9
What pattern is the shirt of Elvis Presley?,striped,f24dd60b831f4ab610289d4c80b49364
How many yellow keys are in the baritone image?,one,e67dc741da5e752509a5b2c78eea84ef
"In the collage of Charleston, South Carolina, what can be seen in the upper right hand corner?",bridge,147d4bc8d2a2bb0379e9f1263cbe47be
Is the character Charlie Kelly (It's Always Sunny in Philadelphia) standing with his jacket fastened?,no,3d549f758a95c84a9d9a8f191f54b871
What is the liquid showing on As the World Turns?,water,055d118116e7747f15d9559b282eb9f7
What is the color of the foot in u.s. open (golf)?,yellow,49f1a5275554e2d92d425a892d439cb4
What is the pattern of the collared shirt that Bjorn Borg is wearing?,striped,10b52003d435825b9103574353b55156
Is Gene Mayer playing tennis?,yes,bd9f2cc3fd2395849361ab6c243cc531
What color is the light in the center of the Doctor Who poster?,white,fe1d61b05493cc86bd648abcbd644e63
What is in the water in the photo of Monte Carlo?,boats,0206ad01589f9044b48317825116147f
What are the man and woman doing in gone with the wind (film)?,kissing,66d0dd816e65422c46b7c772761d187c
How many people are in the photo of Gunsmoke?,four,8b08f70568851cb7fa7a6438c1d6ffd8
How many movie characters are present on the Guardians of the Galaxy (film) poster?,five,29c64789d397154f2d3933e2aa6c7c0b
What land formation is in the background in the top photo of Tokyo?,mountain,f63228fa891acc3142e97c778aa1f600
What color is the building with a clock on top in Sapporo?,white,b1d7f2c40e1665bac8eb46d209d8f215
"How many people are on this album cover for Big Towne, 2061?",one,a2047841274d9854547d20cc10c7254e
How many colors make up the cover for Paris (Paris album)?,two,cad7ee30798ed4933402cc020d705121
With how many colors is the FC Rouen logo composed?,three,b6961430351e78f707a309e393e9a112
What is in William Shakespeare's left ear?,earring,b95286acbb525edd9a1171deef37ee48
How many people are seen here in A Midsummer Night's Dream?,seven,5928fd62b73e04d50c9cb77d426795a7
What is Giorgio Armani wearing around his neck?,tie,89c1b7c3c061cc80bb98d99cbbec50dd
How many members are there in the group that won the Juno Award for Group of the Year,five,232e4c5d9ac67d82bf0634f7ab3da478
How many tires are visible on Gasoline (Theory of a Deadman album)?,two,0d0bd1b0fbf1aea160bc0eb67cb0e840
What symbol is in the center of the flag for Canada?,leaf,a648b2cd489eef91c53d7f48b2733c57
What is Scott Dixon wearing over his hat?,sunglasses,29cdbab2b23f672d0b81454c7b01cc1a
What brand of shirt is this competitor in the Long jump wearing?,nike,f0ab760fcaff6c2200c35ba72a46dddc
What is the object on the top right of the logo for Darlington F.C.?,hat,6fd5d5073458f4f401eda523fad03e8a
How many curved leaf-like shapes can be seen on the emblem above the logo for The Musketeers?,three,2b5ed23fb55bdcb5686e3111c0cd82b7
Is Brian Epstein wearing a suit or just a jacket in this photo?,suit,d4803353a215398d623efb4dbae57494
What geometric shape can be seen behind Mark Skaife?,square,57a9d2e964c5781b8c50b4feb28496db
Is the sidewalk crowded in front of New World Stages?,yes,4e6793f75c7d9b2a3027b458a5043c99
How many photos make up this collage of Moscow?,six,2926c9e79ebd38dc2fbd4b8741312d84
What color hair does Natasha Zvereva have?,brown,4e158fb33ad990e7ad8bad5bfd48e3fe
How many people are shown in this image from the 2003 NFL season?,three,a26a3a974c0f04d04db68f0f15f1fa0d
What color shirt is Jack Brabham wearing?,white,18c0656eecd09433eff5d6784d490372
What is the middle color of the Team Lotus logo?,green,52f62aa54b4f7454ae8ef5b8e3654d88
Is the mouth of the animal on the Brabham logo open or closed?,open,54dd6dd01cecc8e13ccbf0456a2b937b
How many conceentric circles are behind the star on the logo of British Racing Motors?,three,86506c6e4f982b730f0a14a1c7ab9b0b
What is Homer eating on the cover of The Simpsons Movie?,doughnut,9d931a861d2b9e9be0071b56fcd5dbfe
What holds the shirt Demi Lovato is wearing together?,zipper,f7d967985e387cf8d91be598090e08ab
Is the banner under the soccer ball in the Southampton F.C. logo striped or dotted?,striped,9ac8a39185a2a7aa8d90c9fcff528a3e
Is Jay-Z's mouth open or closed here?,open,7fc7cc227609bc51a14202c9236c88e7
What is Beyoncé holding in her right hand?,microphone,21d515705cceefea3f579fd281d07dbc
What instrument is Jason Aldean holding?,guitar,f55a03abab060637d3ee0d913dae98b0
What does Tyler Farr have on his head?,hat,2eaf407684a3588b7a4c382ce6c6b624
What shape is seen inside of itself multiple times in the center of the Constantine (TV series) poster?,circle,a9e3ec3c3d510955e96903a8c81b5556
Is Ed Sheeran wearing a strap over his left or right shoulder?,left,999f5e2e7d3e91808ced5907d5c97bd0
What is Billy Joel wearing around his neck?,tie,02083fab499fc23081c1bec576785c13
Did Frank Sinatra ever wear a hat?,yes,93f1abf9b2556830425c86d05d4d9d8f
What is the logo on the shirt of Cristiano Ronaldo on the upper left called?,swoosh,15a4b2250c67c910eeaf776f08b08bc8
What does the overall shape of the FC Barcelona logo resemble?,shield,ad20afe31bcbfb2836998dbfa0ddbfa6
What type of outerwear is the Captain (cricket) shown here wearing over his shirt?,vest,ad2240e007243378a5fbfcf5988c483b
What color is the umbrella the lady in the 102 Dalmatians poster holding?,black,4fc83bb59563f3e3563cd0ba0bc7952f
Is it cloudy in this picture of wrigley field?,no,6e275db434f72d93417b5356ccba8c57
What is the color of the jacket that tarso marques is wearing?,orange,13506d61ab255497e9af6ce7314c9c5b
What color besides black is in the logo for Jordan Grand Prix?,yellow,d969ceafa603334eaac0474944681348
What is texas league wearing on his head?,helmet,ad6bb9a481cb8469d67263b459e0bbec
How many characters are on this advertisement for Cheers?,two,d34530fb8d7c3b55515e29852c63c57a
How many people are in the car in diablero?,four,fc99b179128c40f74fcc77e7927ca8f2
What kind of pet does the family in Family Guy have?,dog,ccab3cabeaf253f735b480e97eb081c1
What color is the bottom of the dowton abbey picture?,black,c061f9c98e0dc404c62931399de495c7
Does the character on the cover of Sarbjit (film) have tape on his glasses?,yes,f34d7ee86b35219908a4648a458e4467
Is Harris Jayaraj seen here wearing a tie?,no,f5d0db8780ca8e32befa0b8d6564b38f
What color are the raven wings on The Raven (2012 film) ad?,red,3f2d6b9e614bc84d0fbab2881f25f918
Was Shreya Ghoshal a winner or loser at the awards ceremony she attended in a pink dress?,winner,f7210875208e5b9481b17223d9e05eca
What is Barry Geraghty sitting on?,horse,7b36cf429373f0e91c6a009495349e8a
What is the color of the pants of the 2008 New York Jets season uniform?,white,66f4925b6054e69ab93b428750f7a78e
Are there yellow booths situated outside the Royal National Theatre?,yes,8c44781eee00ac97793085151878d75b
"Is Albany, California next to a body of water?",yes,1b8871db69a35d299597e485ec2e354f
"How many different photos of Bossier City, Louisiana are shown?",four,770bf37913aebb5cf621a1da2412de14
What color is the border of a Kent Music Report?,red,5f1f3cf301dc5787a8556fd5e4e8d1e7
What is the background color of the logo for Doc Martin?,black,e397137825d0322784987b13ea2b797b
What orange shape is featured on the title screen for Doctors (2000 TV series)?,circle,b01b873a6dc08e03e5a49eb290987c88
What is in the pocket of Oscar Wilde in this photo?,hankerchief,3c12f272fe92dbe1fed84bda5d8475ec
What color pants is rasmus hojgaard wearing?,white,55271b90745ab3ecadd753280960aa4b
How many characters are in the main family of family guy?,six,ccab3cabeaf253f735b480e97eb081c1
What is Joseph Haydn holding in his right hand?,book,1ae1a26a6d5d5e490287d31f2a1ae028
What is Claudio Monteverdi resting his hands on?,book,be4a73cda42c0364fdc2947ecf689238
What color is Johann Sebastian Bach's coat?,black,e7131007c33fe496624f9e8b3a057272
What is the Melbourne Storm mascot holding in his hand?,thunderbolt,b5fafc9de980037c99a86c0855730a93
Is the woman on a cover of X-Blades in a bra?,yes,3c3352332806e2a4362148e02ea7642b
What vehicle is on the cover of Apache: Air Assault,helicopter,41cffd510258ac72d0d2f02712d12cd2
What pattern are the men in Crossout wearing?,camouflage,153a5c8ed56576005ed42fb1d97e6695
What doe the couple do in sombrero (film),kiss,b2472202d962cbfbbd56b2f74fb681fc
What color are Rebecca De Mornay's eyes?,blue,9c707698f0a0fe17fdd8b677e877d5bf
Are the colors for FC Akhmat Grozny green and white?,yes,69111d09a07b0ed72cfb7f688f26be52
What color is the sofia the first background?,purple,e2e846d71e0d228c36faea68aae123d2
What color is the logo of the Penrith Panthers?,black,61b7bc59323a947ee99699185b2f8fa2
What is the figure lifting in the 2015 World Weightlifting Championships icon?,barbell,8ab4320cef1a5c81d106d52baca84372
What is the man on the right side of the Barnsley F.C. logo holding?,ax,3be96d3d62ebf9e6b0a3f46e90696eed
What are the women on the beach carrying in this poster for Home and Away?,surfboards,3bf5208118cfdf42e939cd414eef192b
What is the predominant color for the logo of 2018-19 Dundee F.C. season?,blue,f43b8d3e854f9bd0edc162fd2739c930
What shape is the logo for Hercules (1998 TV series)?,oval,c265abd2fe51edf05a9fd44bc3b59adc
How many people are depicted in this representation of A Midsummer Night's Dream?,7,5928fd62b73e04d50c9cb77d426795a7
Is the man on the cover of Shivam (2015 Telugu film) wearing jeans?,yes,0afd91f28b0b177384b10941e8daf52a
Where is this Cinematographer filming?,ship,2176aea02a5119e856ccdc4d356ee29d
What color is the tie the Film Director is wearing?,black,150ab21a9a8110fe55a59de6fbeb0fc2
What does Lewis Hamilton wear around his neck?,necklace,d9ac344e9a3aa01f0f89c7b3929f63e4
How many colors make up the flag for Denmark?,two,1f51c2fa0ff4c9937f24bfece3eee0d7
What does the shape resemble in the middle of the flag for Canada?,leaf,a648b2cd489eef91c53d7f48b2733c57
How many stars are on the flag for the United States?,fifty,4c6e0c8d6b9223bd435809e52eecd008
How many fingers are visible in the Gravity painting?,four,84717f45640a0e295554442c314ff163
What is shown in the bottom left photo in this collage of St. Louis?,stadium,b1ca078d020c3ed9d6360b50da490dd5
What type of trees are shown in this photo of Los Angeles?,palm,e5585615464800f8d4f0ce2d6daf203b
The background of this advertisement for Another World (TV series) resembles which body part?,eye,d25530b227444bd017ec0174b1581138
What color is the background on the iCarly logo?,purple,11c3899446e8937941e581f0e17642f7
Is the road in this image of Amsterdam made of dirt or brick?,brick,7aa92d67f7643a9ac4584c95fe3ea1bd
What type of body of water can be seen in the photo of Berlin?,river,9a4a1da13c983c71590435399e94432e
What color is the creature in Karnak (comics)?,green,3dbf86452d8ae1d3d0c901cc26d640b8
How many people are shown in the opening shot of One Tree Hill (TV series)?,one,3e50f7ecd1d356bb402e2efc08178ef7
Are the people standing or sitting in 2016-17 tercera division?,standing,e5f0d5df6f22cca6992c826cbb05af45
How many stripes are on the helmets of the 2018 Arizona Cardinals season?,none,6bc707beaac79c809eaea13328472f45
How many different total outfits were used during the 2018 Denver Broncos season?,three,f09f6961aa5379e519920fb829600516
How many uniform options are shown here for the 2018 San Francisco 49ers season?,two,eb63d1647514df4cae92b1094b73873e
What gender is the 1992 Delaware gubernatorial election participant?,male,8fc00d5930112d724d93ac52677b6028
What is Hillary Clinton wearing in her left ear?,earring,b6d79ad459a7e968d48525c79a036625
What is the main color of the St. Louis Blues logo?,blue,6c9c455f4b1e9308d2e58c231e4fd4ed
What color are the stars on the flag for Australia?,white,d37579e1b3af9802d410eb94a26b1ec4
Does this poster advertising Lark Rise to Candleford (TV series) feature a field or mountains?,field,8a6449f2a45349c249c3dd3deb245160
What does David Tennant have stuck to his jacket?,pin,e9f503c02dcfa5b25ed6c3bc056af9d7
How many pictures of New Orleans make up this collage?,seven,d08d69e6470266bf510a3ef0f025bd80
What is the main color of the FC Stade Nyonnais logo?,yellow,b7a1874add9c952ca1b44ea58b1d168e
What body system makes up the parts from the Bones (TV series) ad?,skeletal,a577232f8e69d1a8eabb4ba4c302fffd
What is the main color of the background of the The X-Files title screen?,black,f3f5c6d1ba2c3b2636f70af0dff1e52e
What is the posture of bairavaa?,kneeling,86b87daa10f787ae4d03c7558761a7b2
what colour is the background in the doosukeltha poster?,green,c0867ec2b0800e227a3becf0ceed6c6e
How many colors make up the Ford Motor Company logo?,two,c4e4761af42febd83203aee57438a888
What is the soldier holding in his right hand?,gun,29b731216868bf1623a33a1e8f2d8aad
What singular part of a bird's body adorned the helmets worn during the 2017 Philadelphia Eagles season?,wing,98118c5e614ff28912714e9ffa587ba5
What color were the Pittsburg Steelers' uniform's pants during the 2017 Pittsburgh Steelers season?,yellow,b66c803460e256dcc25fe2394bc117e3
How many uniform options for the 2017 Oakland Raiders season include gray pants?,two,68c698a2756a4faa4567deaab6b602eb
How many uniform options are shown here for the 2017 Denver Broncos season?,three,a8f95f8f1db8f37754ded180a22b4438
What is behind the dolphin on the helmets of the uniforms for the 2017 Miami Dolphins season?,sun,f746565eeb0e4fd2b52c7666cb07ec3e
What color is least prominent in the Arrowhead Stadium logo?,yellow,1c3d749cfe8b4d5cda44f88eedaced4e
The logo for the AT&T Stadium shows how many lines on the ball?,five,c41c8bd68af1a15d247683ad5e443e9a
What color is the background on the cover of And Then There Were None (miniseries)?,black,b05b13da6218a48f9f7b5d588246b3ea
What is the main color of the double decker bus in Madrid?,red,5eb012385a10b00b17dd46029050aea3
What color is the circle around the sumgayit fk logo?,blue,6507681e4a1e41f577ca6617912e99ca
On what color shield is FSV 63 Luckenwalde?,yellow,baba3b63b9f684c4840df93f29346edf
What sport was played at the Polo Grounds?,baseball,3d07f5e6821849ade2b244e309149859
What game is being played at Kezar Stadium?,football,8fa980cec2bff9cffd0bdf71bea21219
What is R.Kelly wearing around his neck?,necklace,573f365008fd6424f3d8165d7e2b6132
What is Mary J. Blige wearing around her neck?,scarf,ad6b4b615fc63a3685ca5be289e2af6d
What type of earring is the woman wearing on the Growing Pains (Mary J. Blige album)?,hoop,51c065becbb7d1e8f5438c78b421107e
What color is the 2006–07 Serie A map of Italy?,grey,d35c375a2e54e986eab2341276e627b5
What color is the oval shape of the Lola Cars logo?,yellow,db1e14a412c4ce6c2f4b1b16520b0e89
What is the predominant color of the Multi-valve?,silver,aad79b16e7730c45d0074248a2e88582
What color are Jay-Z's eyes?,brown,7fc7cc227609bc51a14202c9236c88e7
How many five point stars are on the flag for Australia?,one,d37579e1b3af9802d410eb94a26b1ec4
How many men are visible in this photo of St. Clair Streett?,8,8e2561c5bf570af23a3951b42be1b17b
What metal structure is located above the entrance of the venue for 2006–07 in English football?,arch,405d53eff299be08d298e48fbfae2a75
What color is the bright coat that the guy with the sign on his back is wearing in the background of 2007-08 in english football?,orange,03d4be8a0709b089a2b72708f5a64875
Is it day or night in the photo featured at the bottom of this collage of London?,night,edda61d6ace989ed6a5aa01af7ffcd32
What is lit up in the background of the House of Cards (American TV series) photo?,building,ad38b0252abd72e59ffb049830253aa6
What are the color of Thomas Jefferson's eyes?,brown,a330fae27dc8960e3ebff4d946565789
Does the logo for Knattspyrnufélagið Víkingur have a soccer ball in it?,yes,48272e364a96a91952c3cffe826a7a5f
Is it nighttime on the cover of How to Train Your Dragon (film)?,yes,a70a6f09da4916555e87196636a2d6b7
Is Las Vegas a rural or urban area?,urban,32dfc1980650c104da9fb2c37daff1bb
What symbol is on the top of the crown in the Real Oviedo logo?,cross,f8973d9b4fa686d5935da874ea771fcf
What item is inside the circle on the right of the Queensland flag?,crown,f6909224eb6c005422b55367e78a299c
What part of the Stanley Cup is black?,base,2e5bde290ef47a055e2237822e4d564c
What is the woman wearing on her face in the poster for fifty shades darker (film)?,mask,9b028906a33565feb187acaf72e26076
What type of sports activity are these people in the Marathon doing?,racing,4785bf29e555e41b0b1fec7307a215ba
What is the main color of the Auckland Rugby Union logo?,blue,a30477adfa96cab0b49df7d00b357e38
What does the woman on the cover of Itoshino Half Moon sit upon?,chair,900f1a41fcbd7e887a10e33344a8d9ad
How many syringes shown here are filled with BLOOD?,five,b8a9c0263905b303ef1f40daaa9503ec
How many people are on the cover of Couples Retreat?,7,6a3b3dbe0908068988b650079d47fd47
What color is in the background of the Ang Probinsyano logo?,blue,c578909bd769561d7a5bed38187c3836
What color is the background of the logo for The Bill?,blue,37f99741195ab2045e7b135d488d4be9
Are there bodies of water within the road loop in Nad Al Sheba?,yes,fe4d933f2056507d2bb241ee69db19a7
Based on the logo over the title what animals seem to race at the Preakness Stakes?,horses,88bbe06edd9e515daa05409507b75b4f
What animal is at the top of the Bradford City A.F.C. logo?,rooster,620b60cb3110c6b00d0ca9d00fd0bf01
what weapons is being displayed over the character's head in this poster for Adventure Time?,sword,53bc56bd25b52819fea661edae5e45b2
What material is the jacket of this nominee for the Filmfare Award for Best Actor made of?,leather,6fc8e18c4eec0634d408e84b797ef8b9
What is the Best music director of Filmfare wearing on his face?,glasses,f13b365b6d3b42ee9ea48a2dedb42fdb
What is there a hankerchief in on the jacket that Shah Rukh Khan is wearing?,pocket,55bba20dd5edce505910342b8affef05
What is the middle right image in tokyo?,bridge,f63228fa891acc3142e97c778aa1f600
What color is the sky at fukuoka airport?,blue,9a08502308e1aaf232cf90c4359ea72e
What do you have to walk up before you can get into this house on The Facts of Life (TV series)?,steps,31ef0fff6d137e9675913db02f8f9304
What color is the traffic light in Saitama Super Arena?,red,07e6a40f1ca3dde41aa2d92fb624c6d0
What does Toranosuke Takagi have on his head?,hat,fbb9824c2944bbc4b9f1200f8274e296
What is the guy doing the Long Jump over?,sand,f0ab760fcaff6c2200c35ba72a46dddc
What is the man wearing on his head in this poster for The Blacklist (TV series)?,hat,905ffa10e5343e6b55952a219f876259
How many photos are in this collage of Trieste?,six,84c5a93d8cf8d2bd752a4eae32355af7
What company made the headband Tereza Smitková is wearing?,nike,e09fd797f574299b752e8194ba9ede23
What is Karel Nováček holding?,racket,5c60b0a5c45c60e8c88902646465314c
How many human eyes are seen on you raise me up?,one,def39a33af26c6fe95ded564d9ee6ca4
What type of art is the sheet trying to communicate?,music,05fbc815abd34af27accadcf9fd92623
How many buttons are on Johann Sebastian Bach's shirt?,five,e7131007c33fe496624f9e8b3a057272
What color is ludwig van beethoven scarf?,red,121ca129bcf6b154ed2ea9ff8c930ece
What main color besides yellow is featured on the CD Shine on You Crazy Diamond?,green,7b1f2357a0eaf37c9d8767d76629093e
What shape does the rainbow go through on the Money (Pink Floyd song) cover?,triangle,8c5d216700a7e74f021c2d379ab84592
What is the wall behind Pink Floyd made of?,bricks,3d4d13d8645517d89c5d8bc0283ddc02
What is Jeffrey Buttle holding in his right hand?,medal,a4abd45547a27a042305ff9de4c25c82
Did Bert Lazzarini ever wear glasses?,yes,5457fced38ecb846892c20b5df40e39f
What color hair does John Kerin have?,gray,1f7723e1091549c14bb0a55a0404f9b8
What color is John Travolta's facial hair?,gray,e5aa0a12a677fdbfc8ef80a28f5e0efb
What type of fixtures are shining behind David Bowie in this photo?,lights,dfcd921d54971e95264bb669f3a3fa9a
What color is the flower on the cover of Harry and the Hendersons?,red,ce4d06b2d23ccb3a3e57c8bb2976cfdc
What instrument is Bob Dylan playing?,guitar,f5cbf925ab8a92bed75b9ad81fffe656
What sport is played at the 2014 Tippeligaen?,soccer,2af4abc39a02f314b2a677e90478a88f
How man refs can be seen in this game from the 2007 NFL season?,two,2c08f14a07d398234b952339b0de6455
What type of jewelry is shown here commemorating the 1994 San Francisco 49ers season?,ring,be753f80b7fcf4f47bd7e1685775a06b
What pattern is the white background on Wizards of Waverly Place?,brick,9b58cd135434cf7031f03c19cad86014
Is this image from The Beverly Hillbillies in black and white?,yes,e882d23040b8723449d32ee836d0e432
How many different pictures of Cardiff are there here?,seven,7245d920b914309a4c162cba5def05bf
What kind of wheel is on one of the pictures of Sheffield?,ferris,3661baa25b0fce53daba322a15c727f6
How many people are in the Monte Carlo (2011 film) poster,three,04d77198b926780f8c1b88e2b7c3d602
The picture for Malcolm in the Middle has a boy putting what on his face?,hands,dc4066f1ab7382c5faa1c66fbd103f8d
Is Gloria Estefan wearing a rainbow collar?,yes,6f4fe499bbee0da438a428f7b05a819c
What type of pants is Enrique Iglesias wearing?,jeans,9e3f3aa95007f87a67976269fd37517f
What color makes up the horizontal streak in the middle of the Doctor Who title screen?,blue,fe1d61b05493cc86bd648abcbd644e63
What color are Alan Hulme's eyeglasses?,black,7cfabbebbe8db20490f7baf1cd27f67b
What is Barry White touching with his left hand?,ear,b155f1ba134a84c8c378a97e0e60a573
How many people are on the cover of Forever My Girl?,2,eec1850434ae36a55578e4b1dd5bc2c2
What color are the curbs painted in front of Hart House (University of Toronto)?,yellow,4f7a5a3038b42fbbc2935d8b1b6f1f3e
How many photos are featured in this collage of Ottawa?,four,2452d8944da208c86c5a6d9e7c902267
How many colors are present on Canada's flag?,two,a648b2cd489eef91c53d7f48b2733c57
How many red stripes are on the flag of Austria?,two,69a96448d6ac96d383ca7410918d79a4
Does Tokyo have colored lights on its bridge at night?,yes,f63228fa891acc3142e97c778aa1f600
What hair style covers the forehead of Taylor Swift?,bangs,06b20247b254715e56dce63791481df1
Which leg is the Lincoln City F.C. mascot standing on?,left,fb907daf5e88b9e35de699e6162f0331
The logo for the Australian Open is on what color background?,blue,b3b4604812af1de7b1f48e351e568c69
"In the photo of Amsterdam, what are the  sidewalks constructed of?",brick,7aa92d67f7643a9ac4584c95fe3ea1bd
What color is the logo for Raymond James Stadium?,blue,55220772c49f357836fdd6c25ae126aa
Which arm is this driver from the 2011 NASCAR Sprint Cup Series waving in the air?,right,880eaa9cfd429a04e63d302f19d59106
What is covering the head of Matt Kenseth ?,hat,9fcf1598059f0e17392a24de2421936f
What is the man in the middle wearing on his face on the cover of Ekipa (TV series)?,glasses,af590e02f655fd93b365240483367cc6
How many people are visible on the cover of Taras Bulba (2009 film)?,three,8b90dedd2d484c6f0c5626f072261bbf
Is there a woman in a green dress on the poster for Pachaikili Muthucharam?,no,1e577f9ca5c3165b1ac5df3c86799acc
What color is the man's shirt in the center of the Poi Solla Porom poster?,yellow,a4fe94a83abdb627aae3c75b60037675
How many people are on this image of baava?,two,7792357605f981069ea5f40ab38c4cd2
What shape on the United States flag encases all the stars?,rectangle,4c6e0c8d6b9223bd435809e52eecd008
How many uniform options are shown here for the 2019 Denver Broncos season?,three,4d5b6fba4bdc480af6247d229db9c182
What is the color of the seal for Aris Thessaloniki F.C.?,yellow,5bf713a7c10d5fd6425efba836510d2b
What shape is the track at Indianapolis Motor Speedway?,oval,e411f0a02e74bf62fb7ff7525617c19e
Is the sky sunny or overcast in this photo of Eindhoven?,overcast,579cd1f68abe77fd7379cc46ebd8e2cb
What is the type of facial hair of the Savdhaan India man?,mustache,88efeb69ce2a636be58032c0c57b9fb3
What company is on the logo of box cricket league?,mtv,f2b4fa62ac6502513640901dd606867a
What animal is the symbol for Great Northern Railway (U.S.)?,goat,463d9ba547ec81b0aafa1bea802a6150
What body part is featured on the Burnley F.C. logo?,hand,73b87bb89329c830512b669e9fe36e21
what is the primary color of the FC Ilves mascot,yellow,d158754c6d61ab5336336d2b9d97dfda
What color are the domes on the building in Helsinki?,green,e34992e4c4a14c44af934d0e8be16ac2
What formations are in the sky in this advertisement for The 100 (TV series)?,clouds,12e29162d729c947024097733e2b1717
What color is the hat Delphi Greenlaw is wearing?,brown,9812db409de6206353ea2ec48b2e2743
In what position does Audrey Hepburn have her arms?,crossed,e704f7f0109e272e67d6aa8c9374f3ad
What is the woman's hand on in the City of Angels (film) poster,face,a06c765a38ca89248a5bc41c8087dec5
Are there any trees visible in the poster for Campfire Tales (1997 film)?,yes,e0198ea94f9af055534d45a19108093d
How many people are pictured on the seal of NYPD Blue?,two,7efa21e59a7003660095ab605a7b9f2a
How many uniform options shown here for the 2005 New England Patriots season include navy blue pants?,two,8a9dd4f3d66293bec38ddd65b68225be
Which uniform of the 2005 New York Jets season has striped socks?,white,a610125f041c5732c2200928840b6cec
How many uniform options from the 2008 New England Patriots season include gray pants?,one,df3b2c504b377793b7275e9ec6cd1e2f
What is the main attribute of all of the helmets of the 2008 Cincinnati Bengals season?,stripes,4c8915b9c1df690b2a661f33108e7c40
What type of pattern does David Coulthard have on his shirt?,checkered,9d376cf736a06e30c233af135eea09a5
What color shirt is Alex O'Brien wearing?,black,8a92cfca467dd162888e507549ebe442
What is this old fashioned Lawyer holding in his hand?,quill,92d399b9466da040550fcd6fde041eb3
What is the Actor on centerstage wearing on his head?,hat,e7bda7dc2fb190d58431e0f6e8016165
What items of nature can be seen in the forefront of the photo of Seattle?,trees,1d99f2e2d1888e6d93cd44a50b5e81d6
What type of structure is over the water in this photo of San Francisco?,bridge,c2044be7619dc8fa4fb7ff3956c91e94
"What kind of tracks can be seen in the photo of Santa Ana, California?",train,88253ca5e2b698b995fd0c6c02897111
How many photos make up this collage of Chicago?,seven,3322e5824cfbc40968ca24e289486d6c
What is in front of the big globe in new york city?,fountain,bbc66fb789c0c669715df33c27868c96
Was this photo of Cape Town taken in the afternoon or night?,night,a57537765cb7f6f6e87164c017dbf3ea
